Budget (in dollars),Age,Gender,Education_Level,With children?,Recommended_Activity
623.0,47.0,Other,Master’s Degree,1,Play: Visit a movie theater
294.0,21.0,Female,High School Grad,1,Play: Go shopping
141.0,23.0,Other,NA,0,Play: Go shopping
2822.0,37.0,Male,Master’s Degree,0,Learn: Visit a library
1456.0,57.0,Other,Master’s Degree,NA,Play: Go shopping
2186.0,25.0,Non-binary,Master’s Degree,1,Explore: Go sightseeing
26.0,20.0,Non-binary,High School Grad,1,Play: Go shopping
3923.0,43.0,NA,Master’s Degree,1,Play: Go shopping
219.0,20.0,Other,Did Not Graduate HS,NA,Play: Visit a movie theater
155.0,20.0,NA,Other,NA,Play: Visit a movie theater
271.0,19.0,Male,Did Not Graduate HS,1,Play: Go shopping
524.0,53.0,Male,Bachelor’s Degree,NA,Learn: Visit a library
4864.0,43.0,NA,Master’s Degree,1,Play: Visit a movie theater
2115.0,26.0,Other,Master’s Degree,1,Stay in: Color
217.0,20.0,Female,NA,1,Play: Visit a movie theater
114.0,18.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
145.0,20.0,Female,NA,1,Play: Visit a movie theater
2039.0,34.0,Transgender,Master’s Degree,0,Stay in: Watch calming TV
285.0,23.0,Male,Did Not Graduate HS,0,Play: Visit a movie theater
3203.0,42.0,Male,Bachelor’s Degree,NA,Explore: Go sightseeing
271.0,23.0,NA,Other,NA,Play: Visit a movie theater
2569.0,43.0,Male,Bachelor’s Degree,1,Explore: Go sightseeing
2757.0,31.0,Transgender,Master’s Degree,0,Stay in: Watch calming TV
2468.0,29.0,NA,Master’s Degree,1,Play: Go shopping
970.0,34.0,Other,Master’s Degree,1,Explore: Hike
298.0,20.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
222.0,23.0,NA,High School Grad,0,Play: Visit a movie theater
2790.0,43.0,Transgender,Bachelor’s Degree,0,Stay in: Watch calming TV
204.0,22.0,Non-binary,High School Grad,0,Play: Visit a movie theater
4914.0,85.0,NA,Master’s Degree,0,Stay in: Watch calming TV
181.0,23.0,Transgender,High School Grad,0,Play: Go shopping
3247.0,26.0,Transgender,Master’s Degree,0,Explore: Go sightseeing
227.0,23.0,Transgender,High School Grad,NA,Play: Visit a movie theater
2587.0,29.0,Transgender,Bachelor’s Degree,NA,Play: Visit a movie theater
3650.0,28.0,Non-binary,Bachelor’s Degree,0,Stay in: Color
296.0,20.0,Non-binary,NA,0,Play: Go shopping
4754.0,69.0,Transgender,Bachelor’s Degree,NA,Play: Visit a movie theater
2410.0,26.0,NA,Master’s Degree,NA,Stay in: Play a game
1101.0,50.0,NA,Bachelor’s Degree,0,Learn: Visit a library
250.0,22.0,Other,NA,NA,Play: Visit a movie theater
1604.0,35.0,Non-binary,Bachelor’s Degree,NA,Stay in: Play a game
251.0,20.0,Other,Did Not Graduate HS,NA,Play: Visit a movie theater
2260.0,30.0,NA,Bachelor’s Degree,NA,Explore: Visit a park
53.0,21.0,Transgender,NA,1,Play: Go shopping
287.0,19.0,Transgender,High School Grad,1,Play: Go shopping
167.0,23.0,Other,Did Not Graduate HS,1,Play: Go shopping
100.0,20.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
183.0,18.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
259.0,19.0,Female,Did Not Graduate HS,1,Play: Go shopping
65.0,18.0,Other,Did Not Graduate HS,0,Play: Go shopping
1280.0,54.0,Transgender,Master’s Degree,NA,Play: Go shopping
509.0,50.0,Transgender,Master’s Degree,1,Explore: Hike
553.0,29.0,Transgender,Master’s Degree,0,Explore: Visit a park
1312.0,35.0,Male,Master’s Degree,0,Stay in: Play a game
3040.0,48.0,NA,Master’s Degree,NA,Explore: Visit a park
2027.0,27.0,Transgender,Master’s Degree,NA,Explore: Go sightseeing
4563.0,30.0,NA,Master’s Degree,NA,Stay in: Play a game
89.0,18.0,Male,High School Grad,NA,Play: Visit a movie theater
175.0,19.0,Other,Other,1,Play: Visit a movie theater
51.0,18.0,Female,Other,1,Play: Go shopping
3853.0,50.0,Non-binary,Bachelor’s Degree,NA,Explore: Visit a park
2809.0,49.0,Transgender,Bachelor’s Degree,1,Play: Go shopping
244.0,85.0,Transgender,Did Not Graduate HS,1,Stay in: Play a game
254.0,20.0,Other,High School Grad,NA,Play: Visit a movie theater
250.0,21.0,Transgender,Did Not Graduate HS,0,Play: Go shopping
75.0,18.0,Transgender,Other,0,Play: Go shopping
3179.0,55.0,Transgender,Bachelor’s Degree,1,Learn: Visit a library
210.0,21.0,Female,NA,1,Play: Visit a movie theater
267.0,19.0,Non-binary,High School Grad,1,Play: Go shopping
269.0,20.0,Other,Did Not Graduate HS,0,Play: Visit a movie theater
1722.0,34.0,Female,Master’s Degree,1,Learn: Visit a library
92.0,19.0,Other,High School Grad,NA,Play: Go shopping
3653.0,58.0,Other,Bachelor’s Degree,NA,Play: Go shopping
14.0,23.0,NA,NA,NA,Play: Visit a movie theater
232.0,21.0,Female,NA,1,Play: Visit a movie theater
190.0,23.0,Non-binary,Other,NA,Play: Visit a movie theater
1191.0,48.0,NA,Bachelor’s Degree,0,Stay in: Watch calming TV
188.0,19.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
209.0,20.0,Transgender,Other,0,Play: Visit a movie theater
3479.0,49.0,Other,Master’s Degree,0,Explore: Go sightseeing
548.0,43.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
114.0,20.0,Male,High School Grad,NA,Play: Go shopping
282.0,20.0,NA,Did Not Graduate HS,1,Play: Go shopping
3083.0,43.0,Transgender,Master’s Degree,1,Stay in: Watch calming TV
131.0,23.0,NA,High School Grad,0,Play: Visit a movie theater
278.0,18.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
227.0,18.0,Female,Did Not Graduate HS,1,Play: Visit a movie theater
57.0,21.0,NA,NA,NA,Play: Go shopping
1428.0,25.0,Non-binary,Master’s Degree,0,Explore: Go sightseeing
3928.0,46.0,Non-binary,Master’s Degree,NA,Learn: Visit a library
3814.0,35.0,Non-binary,Master’s Degree,0,Stay in: Watch calming TV
62.0,18.0,Transgender,Other,0,Play: Visit a movie theater
2498.0,37.0,Male,Master’s Degree,0,Stay in: Color
4053.0,34.0,Male,Master’s Degree,0,Learn: Visit a library
121.0,23.0,Transgender,NA,NA,Play: Go shopping
2333.0,25.0,Non-binary,Bachelor’s Degree,1,Play: Visit a movie theater
209.0,25.0,NA,High School Grad,0,Stay in: Watch calming TV
999.0,60.0,Other,Bachelor’s Degree,0,Stay in: Watch calming TV
3719.0,75.0,NA,Bachelor’s Degree,1,Stay in: Play a game
2073.0,91.0,Transgender,Master’s Degree,0,Learn: Visit a library
2939.0,33.0,NA,Bachelor’s Degree,NA,Learn: Visit a library
3214.0,28.0,NA,Bachelor’s Degree,0,Explore: Hike
4436.0,38.0,Female,Master’s Degree,1,Play: Visit a movie theater
185.0,18.0,Female,NA,1,Play: Go shopping
167.0,23.0,NA,Other,NA,Play: Visit a movie theater
416.0,25.0,Other,Master’s Degree,NA,Stay in: Play a game
3023.0,74.0,Non-binary,Bachelor’s Degree,1,Explore: Visit a park
206.0,20.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
710.0,33.0,Female,Bachelor’s Degree,1,Explore: Visit a park
86.0,22.0,Female,Other,1,Play: Visit a movie theater
55.0,19.0,Male,Other,1,Play: Go shopping
946.0,26.0,NA,Bachelor’s Degree,0,Explore: Go sightseeing
2984.0,52.0,Male,Master’s Degree,1,Play: Go shopping
169.0,19.0,Transgender,High School Grad,1,Play: Visit a movie theater
132.0,23.0,NA,Did Not Graduate HS,1,Play: Go shopping
29.0,20.0,Non-binary,NA,0,Play: Visit a movie theater
3339.0,45.0,Male,Bachelor’s Degree,1,Explore: Go sightseeing
159.0,18.0,Male,Other,NA,Play: Go shopping
141.0,19.0,NA,Did Not Graduate HS,0,Play: Go shopping
16.0,22.0,Female,High School Grad,1,Play: Go shopping
962.0,28.0,NA,Bachelor’s Degree,NA,Play: Go shopping
3879.0,53.0,Other,Master’s Degree,NA,Explore: Hike
124.0,21.0,NA,NA,0,Play: Go shopping
1695.0,38.0,Male,Bachelor’s Degree,0,Explore: Visit a park
272.0,18.0,Other,NA,0,Play: Visit a movie theater
2997.0,38.0,Other,Bachelor’s Degree,1,Explore: Hike
167.0,20.0,Transgender,Other,0,Play: Visit a movie theater
4923.0,27.0,Other,Master’s Degree,NA,Explore: Visit a park
14.0,20.0,Female,High School Grad,1,Play: Visit a movie theater
3051.0,52.0,Female,Bachelor’s Degree,1,Play: Go shopping
3492.0,83.0,Non-binary,Master’s Degree,0,Learn: Visit a library
4357.0,35.0,Transgender,Bachelor’s Degree,NA,Stay in: Play a game
56.0,22.0,NA,Did Not Graduate HS,1,Play: Visit a movie theater
90.0,22.0,Transgender,High School Grad,1,Play: Visit a movie theater
226.0,23.0,Female,NA,1,Play: Go shopping
222.0,23.0,Male,Did Not Graduate HS,0,Play: Go shopping
220.0,23.0,Male,Other,NA,Play: Visit a movie theater
268.0,21.0,Transgender,High School Grad,NA,Play: Go shopping
211.0,22.0,NA,High School Grad,NA,Play: Go shopping
3351.0,72.0,Male,Bachelor’s Degree,1,Stay in: Play a game
3112.0,27.0,Transgender,Master’s Degree,0,Learn: Visit a library
1941.0,39.0,Other,Master’s Degree,1,Explore: Hike
237.0,22.0,Female,Other,1,Play: Go shopping
174.0,18.0,Other,NA,1,Play: Go shopping
261.0,20.0,Female,Did Not Graduate HS,1,Play: Go shopping
673.0,29.0,NA,Master’s Degree,NA,Explore: Visit a park
4552.0,75.0,Other,Master’s Degree,NA,Stay in: Watch calming TV
638.0,61.0,Non-binary,Bachelor’s Degree,0,Stay in: Color
1792.0,41.0,Female,Bachelor’s Degree,1,Learn: Visit a library
254.0,18.0,Male,Did Not Graduate HS,1,Play: Visit a movie theater
155.0,18.0,Female,NA,NA,Play: Visit a movie theater
126.0,19.0,Female,High School Grad,1,Play: Go shopping
85.0,21.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
149.0,19.0,Other,High School Grad,NA,Play: Go shopping
4549.0,29.0,Other,Bachelor’s Degree,0,Explore: Hike
135.0,22.0,NA,Did Not Graduate HS,1,Play: Go shopping
1667.0,33.0,Transgender,Bachelor’s Degree,1,Play: Visit a movie theater
2030.0,36.0,Non-binary,Bachelor’s Degree,0,Stay in: Color
1453.0,34.0,Transgender,Bachelor’s Degree,1,Learn: Visit a library
1545.0,79.0,Male,Bachelor’s Degree,NA,Explore: Visit a park
92.0,58.0,Other,Did Not Graduate HS,1,Stay in: Play a game
284.0,21.0,Female,Other,NA,Play: Visit a movie theater
224.0,20.0,Male,Other,0,Play: Go shopping
146.0,20.0,Other,Other,NA,Play: Visit a movie theater
171.0,21.0,Male,Did Not Graduate HS,1,Play: Go shopping
256.0,19.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
3060.0,84.0,Other,Master’s Degree,1,Play: Visit a movie theater
2713.0,30.0,Male,Master’s Degree,0,Learn: Visit a library
246.0,23.0,Female,Did Not Graduate HS,1,Play: Go shopping
106.0,19.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
64.0,19.0,Transgender,Other,1,Play: Visit a movie theater
15.0,22.0,Non-binary,Other,1,Play: Go shopping
181.0,23.0,Non-binary,High School Grad,1,Play: Visit a movie theater
194.0,18.0,Non-binary,NA,1,Play: Visit a movie theater
4445.0,25.0,Other,Master’s Degree,0,Play: Visit a movie theater
3814.0,26.0,Male,Master’s Degree,0,Play: Visit a movie theater
828.0,30.0,Non-binary,Master’s Degree,1,Stay in: Play a game
2010.0,37.0,Transgender,Bachelor’s Degree,NA,Explore: Hike
26.0,23.0,Non-binary,High School Grad,NA,Play: Go shopping
251.0,21.0,Transgender,Other,0,Play: Visit a movie theater
4730.0,73.0,Non-binary,Master’s Degree,NA,Stay in: Play a game
4422.0,29.0,Transgender,Bachelor’s Degree,0,Play: Go shopping
3112.0,69.0,NA,Bachelor’s Degree,NA,Play: Go shopping
28.0,22.0,Other,NA,NA,Play: Visit a movie theater
3513.0,31.0,Other,Master’s Degree,1,Explore: Hike
3401.0,26.0,NA,Bachelor’s Degree,0,Explore: Hike
212.0,23.0,Non-binary,NA,0,Play: Visit a movie theater
4733.0,68.0,Transgender,Master’s Degree,NA,Explore: Visit a park
213.0,18.0,NA,NA,1,Play: Visit a movie theater
4313.0,33.0,Other,NA,NA,Play: Visit a movie theater
144.0,22.0,Male,NA,1,Play: Visit a movie theater
3804.0,43.0,Other,Master’s Degree,0,Learn: Visit a library
243.0,19.0,Non-binary,High School Grad,0,Play: Go shopping
216.0,23.0,Other,High School Grad,1,Play: Go shopping
1999.0,77.0,Transgender,Bachelor’s Degree,NA,Explore: Visit a park
1886.0,53.0,Transgender,Master’s Degree,NA,Explore: Go sightseeing
201.0,21.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
272.0,19.0,Transgender,NA,NA,Play: Go shopping
278.0,22.0,NA,Did Not Graduate HS,0,Play: Go shopping
227.0,21.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
296.0,18.0,Female,High School Grad,1,Play: Visit a movie theater
35.0,20.0,NA,Did Not Graduate HS,1,Play: Visit a movie theater
173.0,19.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
292.0,19.0,Other,NA,0,Play: Go shopping
1829.0,33.0,NA,Master’s Degree,NA,Stay in: Play a game
28.0,21.0,NA,High School Grad,1,Play: Visit a movie theater
2189.0,34.0,Transgender,Master’s Degree,NA,Learn: Visit a library
71.0,21.0,Male,NA,0,Play: Visit a movie theater
2580.0,32.0,Female,Bachelor’s Degree,1,Stay in: Watch calming TV
777.0,43.0,NA,Bachelor’s Degree,0,Explore: Visit a park
212.0,21.0,Male,NA,0,Play: Visit a movie theater
27.0,20.0,Transgender,Other,0,Play: Visit a movie theater
186.0,27.0,Male,NA,NA,Explore: Go sightseeing
109.0,22.0,Non-binary,High School Grad,1,Play: Go shopping
170.0,19.0,NA,Other,1,Play: Go shopping
91.0,19.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
2300.0,30.0,Male,Bachelor’s Degree,NA,Explore: Go sightseeing
4465.0,43.0,Transgender,Master’s Degree,1,Stay in: Watch calming TV
241.0,19.0,NA,Did Not Graduate HS,0,Play: Go shopping
109.0,21.0,Non-binary,Other,1,Play: Visit a movie theater
224.0,21.0,Other,Other,NA,Play: Visit a movie theater
194.0,20.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
1312.0,67.0,Non-binary,Bachelor’s Degree,NA,Explore: Visit a park
4144.0,50.0,Other,Master’s Degree,1,Stay in: Play a game
114.0,21.0,NA,NA,0,Play: Visit a movie theater
269.0,18.0,Female,NA,1,Play: Go shopping
276.0,19.0,Non-binary,High School Grad,1,Play: Go shopping
110.0,19.0,Non-binary,Other,NA,Play: Go shopping
51.0,19.0,Male,High School Grad,1,Play: Go shopping
247.0,18.0,NA,Did Not Graduate HS,0,Play: Go shopping
15.0,23.0,Transgender,High School Grad,1,Play: Go shopping
647.0,29.0,Male,Master’s Degree,NA,Play: Visit a movie theater
599.0,53.0,Non-binary,Master’s Degree,1,Learn: Visit a library
4365.0,56.0,Female,Bachelor’s Degree,1,Explore: Go sightseeing
540.0,41.0,Transgender,Master’s Degree,0,Stay in: Color
658.0,36.0,NA,Master’s Degree,0,Explore: Visit a park
3395.0,28.0,Other,Master’s Degree,NA,Explore: Go sightseeing
3464.0,27.0,Other,Master’s Degree,0,Stay in: Play a game
208.0,18.0,Transgender,Did Not Graduate HS,0,Play: Visit a movie theater
4207.0,36.0,Female,Bachelor’s Degree,1,Play: Go shopping
112.0,20.0,Transgender,NA,0,Play: Visit a movie theater
228.0,20.0,Other,Did Not Graduate HS,0,Play: Go shopping
213.0,23.0,Male,Other,0,Play: Visit a movie theater
216.0,20.0,Non-binary,Did Not Graduate HS,NA,Play: Go shopping
299.0,22.0,Transgender,NA,0,Play: Visit a movie theater
4691.0,62.0,Male,Master’s Degree,0,Stay in: Watch calming TV
3433.0,60.0,Transgender,Bachelor’s Degree,NA,Learn: Visit a library
130.0,22.0,Female,High School Grad,1,Play: Go shopping
73.0,19.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
97.0,20.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
57.0,21.0,Other,Other,NA,Play: Go shopping
3058.0,73.0,Other,Bachelor’s Degree,0,Stay in: Color
281.0,19.0,Female,High School Grad,1,Play: Visit a movie theater
4040.0,54.0,Female,Master’s Degree,1,Explore: Hike
283.0,23.0,Other,Other,0,Play: Go shopping
132.0,23.0,Non-binary,Other,0,Play: Go shopping
4835.0,76.0,Non-binary,Bachelor’s Degree,1,Play: Visit a movie theater
120.0,20.0,Transgender,Other,NA,Play: Go shopping
3366.0,47.0,Transgender,Master’s Degree,NA,Explore: Go sightseeing
593.0,39.0,Female,Master’s Degree,1,Play: Visit a movie theater
54.0,19.0,Male,Other,1,Play: Go shopping
262.0,20.0,Other,High School Grad,0,Play: Go shopping
100.0,18.0,Male,Did Not Graduate HS,NA,Play: Visit a movie theater
46.0,20.0,Non-binary,Other,0,Play: Visit a movie theater
3246.0,41.0,Transgender,Other,1,Explore: Visit a park
3553.0,60.0,Female,Master’s Degree,1,Explore: Hike
364.0,40.0,Transgender,Master’s Degree,1,Play: Visit a movie theater
4845.0,35.0,Male,Bachelor’s Degree,0,Learn: Visit a library
185.0,18.0,Transgender,High School Grad,1,Play: Visit a movie theater
147.0,22.0,Other,High School Grad,0,Play: Visit a movie theater
262.0,21.0,Transgender,High School Grad,1,Play: Visit a movie theater
2202.0,29.0,Female,Master’s Degree,1,Play: Visit a movie theater
34.0,18.0,NA,High School Grad,NA,Play: Go shopping
264.0,22.0,Non-binary,Other,0,Play: Visit a movie theater
250.0,21.0,Non-binary,Other,1,Play: Go shopping
3478.0,28.0,NA,Master’s Degree,0,Explore: Hike
30.0,19.0,Transgender,NA,0,Play: Go shopping
2517.0,50.0,NA,Bachelor’s Degree,0,Stay in: Watch calming TV
215.0,22.0,Male,NA,NA,Play: Visit a movie theater
195.0,21.0,Male,Other,NA,Play: Go shopping
61.0,20.0,NA,Other,0,Play: Visit a movie theater
3818.0,59.0,Non-binary,Bachelor’s Degree,NA,Explore: Go sightseeing
125.0,19.0,NA,High School Grad,0,Play: Go shopping
2134.0,84.0,NA,Master’s Degree,NA,Explore: Visit a park
1297.0,28.0,Male,Bachelor’s Degree,0,Learn: Visit a library
319.0,60.0,Transgender,Bachelor’s Degree,NA,Stay in: Watch calming TV
2123.0,54.0,NA,Master’s Degree,0,Play: Go shopping
184.0,21.0,Non-binary,Did Not Graduate HS,1,Play: Visit a movie theater
3624.0,62.0,Non-binary,Bachelor’s Degree,NA,Explore: Visit a park
29.0,21.0,Other,High School Grad,NA,Play: Go shopping
4506.0,29.0,Non-binary,Bachelor’s Degree,0,Play: Go shopping
160.0,21.0,Female,Did Not Graduate HS,1,Play: Go shopping
270.0,20.0,Transgender,Other,NA,Play: Visit a movie theater
4057.0,55.0,Non-binary,Master’s Degree,NA,Stay in: Watch calming TV
49.0,21.0,Transgender,Other,1,Play: Visit a movie theater
262.0,22.0,NA,High School Grad,NA,Play: Visit a movie theater
450.0,46.0,NA,Bachelor’s Degree,1,Stay in: Watch calming TV
1468.0,37.0,Male,Master’s Degree,0,Stay in: Color
49.0,23.0,Transgender,Did Not Graduate HS,1,Play: Visit a movie theater
246.0,23.0,NA,High School Grad,0,Play: Go shopping
2510.0,66.0,Female,Master’s Degree,1,Stay in: Watch calming TV
228.0,20.0,Male,NA,1,Play: Go shopping
1067.0,28.0,NA,Bachelor’s Degree,NA,Learn: Visit a library
74.0,22.0,Male,NA,0,Play: Visit a movie theater
2873.0,76.0,Non-binary,Bachelor’s Degree,0,Play: Visit a movie theater
2114.0,31.0,Female,Master’s Degree,1,Stay in: Color
4955.0,43.0,Other,Master’s Degree,0,Learn: Visit a library
178.0,18.0,Other,Did Not Graduate HS,NA,Play: Visit a movie theater
2.0,21.0,Female,Other,1,Play: Visit a movie theater
4229.0,29.0,Transgender,Master’s Degree,NA,Learn: Visit a library
169.0,21.0,Male,Did Not Graduate HS,1,Play: Go shopping
51.0,22.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
252.0,18.0,Male,Other,NA,Play: Visit a movie theater
287.0,19.0,Transgender,Did Not Graduate HS,NA,Play: Visit a movie theater
36.0,20.0,Transgender,NA,NA,Play: Visit a movie theater
4212.0,42.0,NA,Master’s Degree,1,Explore: Go sightseeing
4783.0,87.0,Male,Master’s Degree,1,Explore: Visit a park
2131.0,28.0,Other,Bachelor’s Degree,0,Learn: Visit a library
32.0,23.0,Male,Other,1,Play: Visit a movie theater
28.0,20.0,Non-binary,Other,0,Play: Go shopping
1243.0,36.0,NA,Bachelor’s Degree,NA,Learn: Visit a library
971.0,68.0,Male,Bachelor’s Degree,1,Explore: Go sightseeing
74.0,19.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
211.0,23.0,Non-binary,NA,0,Play: Visit a movie theater
38.0,21.0,Transgender,Did Not Graduate HS,NA,Play: Go shopping
189.0,18.0,Non-binary,High School Grad,1,Play: Go shopping
80.0,18.0,Transgender,Other,0,Play: Go shopping
4470.0,42.0,NA,Bachelor’s Degree,NA,Learn: Visit a library
20.0,18.0,Male,Did Not Graduate HS,0,Play: Visit a movie theater
3278.0,40.0,Transgender,Bachelor’s Degree,0,Play: Go shopping
229.0,18.0,NA,High School Grad,0,Play: Go shopping
3201.0,32.0,Other,Master’s Degree,NA,Explore: Hike
3864.0,43.0,NA,Master’s Degree,NA,Play: Go shopping
768.0,71.0,Female,Master’s Degree,1,Stay in: Color
60.0,21.0,Transgender,Other,1,Play: Visit a movie theater
153.0,20.0,Non-binary,Did Not Graduate HS,0,Play: Go shopping
3895.0,38.0,Non-binary,Bachelor’s Degree,NA,Explore: Go sightseeing
4594.0,49.0,Other,Master’s Degree,NA,Play: Go shopping
82.0,22.0,Non-binary,High School Grad,1,Play: Visit a movie theater
575.0,39.0,Transgender,Bachelor’s Degree,1,Explore: Visit a park
97.0,22.0,Female,High School Grad,1,Play: Visit a movie theater
272.0,22.0,Other,High School Grad,0,Play: Visit a movie theater
291.0,19.0,Male,Other,0,Play: Visit a movie theater
127.0,19.0,Female,High School Grad,1,Play: Go shopping
132.0,23.0,Male,Other,0,Play: Visit a movie theater
158.0,20.0,Male,Did Not Graduate HS,1,Play: Go shopping
3539.0,48.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
42.0,21.0,NA,Did Not Graduate HS,1,Play: Go shopping
51.0,18.0,Transgender,NA,0,Play: Go shopping
2852.0,29.0,Female,Master’s Degree,1,Learn: Visit a library
4430.0,42.0,Female,Bachelor’s Degree,1,Explore: Hike
259.0,20.0,Female,Other,1,Play: Visit a movie theater
5.0,20.0,Non-binary,NA,1,Play: Go shopping
144.0,23.0,Transgender,High School Grad,0,Play: Go shopping
95.0,18.0,NA,High School Grad,0,Play: Go shopping
85.0,22.0,NA,High School Grad,NA,Play: Visit a movie theater
51.0,18.0,Female,High School Grad,1,Play: Visit a movie theater
111.0,23.0,Other,High School Grad,0,Play: Go shopping
302.0,33.0,Transgender,Master’s Degree,1,Explore: Hike
255.0,19.0,Non-binary,Did Not Graduate HS,1,Play: Go shopping
49.0,18.0,Non-binary,High School Grad,0,Play: Go shopping
1084.0,35.0,Non-binary,Master’s Degree,1,Learn: Visit a library
752.0,59.0,Other,Bachelor’s Degree,1,Explore: Go sightseeing
3407.0,40.0,Other,Bachelor’s Degree,1,Explore: Visit a park
134.0,19.0,Non-binary,NA,NA,Play: Go shopping
111.0,19.0,Other,NA,0,Play: Go shopping
69.0,21.0,Male,High School Grad,0,Play: Visit a movie theater
239.0,23.0,Female,Other,1,Play: Go shopping
2664.0,50.0,Non-binary,Bachelor’s Degree,1,Stay in: Watch calming TV
126.0,23.0,Other,Other,1,Play: Visit a movie theater
239.0,21.0,NA,Did Not Graduate HS,0,Play: Go shopping
109.0,23.0,Other,Other,NA,Play: Go shopping
34.0,22.0,Female,NA,1,Play: Go shopping
202.0,22.0,Transgender,NA,NA,Play: Visit a movie theater
52.0,18.0,NA,NA,NA,Play: Visit a movie theater
1717.0,45.0,Non-binary,Master’s Degree,1,Play: Visit a movie theater
112.0,19.0,Female,NA,1,Play: Go shopping
1056.0,36.0,Other,Bachelor’s Degree,0,Explore: Go sightseeing
3847.0,43.0,Non-binary,Master’s Degree,1,Explore: Hike
1662.0,31.0,Other,Bachelor’s Degree,1,Learn: Visit a library
1176.0,37.0,Transgender,Did Not Graduate HS,NA,Stay in: Watch calming TV
173.0,21.0,Other,NA,NA,Play: Go shopping
281.0,21.0,Female,High School Grad,1,Play: Go shopping
1259.0,84.0,NA,Master’s Degree,1,Play: Go shopping
119.0,23.0,Other,NA,NA,Play: Visit a movie theater
752.0,31.0,Female,Bachelor’s Degree,1,Explore: Go sightseeing
210.0,18.0,Other,Other,0,Play: Visit a movie theater
181.0,20.0,Transgender,NA,1,Play: Go shopping
963.0,36.0,Transgender,Bachelor’s Degree,0,Explore: Visit a park
118.0,20.0,NA,Did Not Graduate HS,0,Play: Visit a movie theater
2233.0,26.0,Non-binary,Master’s Degree,0,Play: Go shopping
60.0,22.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
268.0,20.0,Transgender,High School Grad,0,Play: Go shopping
2677.0,36.0,Non-binary,Bachelor’s Degree,NA,Play: Visit a movie theater
285.0,19.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
4377.0,46.0,Male,Master’s Degree,1,Stay in: Color
833.0,63.0,Transgender,Master’s Degree,1,Stay in: Watch calming TV
175.0,23.0,Male,Did Not Graduate HS,0,Play: Go shopping
112.0,23.0,NA,NA,NA,Play: Visit a movie theater
4452.0,40.0,NA,Master’s Degree,0,Stay in: Color
2979.0,58.0,Non-binary,Master’s Degree,0,Play: Visit a movie theater
3559.0,60.0,Female,Master’s Degree,1,Explore: Visit a park
2531.0,34.0,NA,Bachelor’s Degree,0,Play: Visit a movie theater
878.0,29.0,Non-binary,Master’s Degree,NA,Play: Visit a movie theater
166.0,19.0,Male,NA,1,Play: Go shopping
3060.0,29.0,Male,Master’s Degree,NA,Play: Go shopping
32.0,20.0,NA,Did Not Graduate HS,NA,Play: Visit a movie theater
3849.0,55.0,Non-binary,Bachelor’s Degree,NA,Stay in: Watch calming TV
93.0,20.0,Female,High School Grad,1,Play: Go shopping
56.0,21.0,Male,NA,1,Play: Go shopping
125.0,18.0,Non-binary,Did Not Graduate HS,0,Play: Visit a movie theater
874.0,42.0,Non-binary,Master’s Degree,1,Explore: Go sightseeing
2475.0,43.0,Non-binary,Bachelor’s Degree,1,Play: Visit a movie theater
3527.0,27.0,Other,Bachelor’s Degree,0,Explore: Visit a park
4610.0,35.0,Transgender,Master’s Degree,0,Stay in: Play a game
3052.0,30.0,Transgender,Bachelor’s Degree,0,Play: Go shopping
83.0,22.0,Transgender,Other,1,Play: Visit a movie theater
199.0,21.0,NA,Other,1,Play: Visit a movie theater
277.0,21.0,Non-binary,NA,0,Play: Visit a movie theater
2226.0,72.0,Female,Bachelor’s Degree,1,Explore: Visit a park
166.0,21.0,Other,Other,1,Play: Go shopping
3657.0,37.0,Female,Master’s Degree,1,Explore: Hike
93.0,19.0,Non-binary,Other,1,Play: Go shopping
4381.0,35.0,Transgender,Master’s Degree,NA,Learn: Visit a library
4162.0,61.0,NA,Bachelor’s Degree,0,Explore: Hike
188.0,21.0,NA,Other,1,Play: Go shopping
33.0,18.0,Transgender,Did Not Graduate HS,1,Play: Go shopping
195.0,23.0,Non-binary,Other,NA,Play: Go shopping
